"Name","Source","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"Wall of Fire","PHB","4th","Action","Concentration, up to 1 minute","Evocation","120 feet","V, S, M (a small piece of phosphorus)","Druid, Sorcerer, Wizard","","You create a wall of fire on a solid surface within range. You can make the wall up to 60 feet long, 20 feet high, and 1 foot thick, or a ringed wall up to 20 feet in diameter, 20 feet high, and 1 foot thick. The wall is opaque and lasts for the duration.When the wall appears, each creature within its area must make a Dexterity saving throw. On a failed save, a creature takes 5d8 fire damage, or half as much damage on a successful save.One side of the wall, selected by you when you cast this spell, deals 5d8 fire damage to each creature that ends its turn within 10 feet of that side or inside the wall. A creature takes the same damage when it enters the wall for the first time on a turn or ends its turn there. The other side of the wall deals no damage."," At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, the damage increases by 1d8 for each slot level above 4th."
"Wall of Force","PHB","5th","Action","Concentration, up to 10 minutes","Evocation","120 feet","V, S, M (a pinch of powder made by crushing a clear gemstone)","Wizard","","An invisible wall of force springs into existence at a point you choose within range. The wall appears in any orientation you choose, as a horizontal or vertical barrier or at an angle. It can be free floating or resting on a solid surface. You can form it into a hemispherical dome or a sphere with a radius of up to 10 feet, or you can shape a flat surface made up of ten 10-foot-by-10-foot panels. Each panel must be contiguous with another panel. In any form, the wall is 1/4 inch thick. It lasts for the duration. If the wall cuts through a creature's space when it appears, the creature is pushed to one side of the wall (your choice which side).Nothing can physically pass through the wall. It is immune to all damage and can't be dispelled by dispel magic. A disintegrate spell destroys the wall instantly, however. The wall also extends into the Ethereal Plane, blocking ethereal travel through the wall.",""
"Wall of Ice","PHB","6th","Action","Concentration, up to 10 minutes","Evocation","120 feet","V, S, M (a small piece of quartz)","Wizard","","You create a wall of ice on a solid surface within range. You can form it into a hemispherical dome or a sphere with a radius of up to 10 feet, or you can shape a flat surface made up of ten 10-foot-square panels. Each panel must be contiguous with another panel. In any form, the wall is 1 foot thick and lasts for the duration.If the wall cuts through a creature's space when it appears, the creature within its area is pushed to one side of the wall and must make a Dexterity saving throw. On a failed save, the creature takes 10d6 cold damage, or half as much damage on a successful save.The wall is an object that can be damaged and thus breached. It has AC 12 and 30 hit points per 10-foot section, and it is vulnerable to fire damage. Reducing a 10-foot section of wall to 0 hit points destroys it and leaves behind a sheet of frigid air in the space the wall occupied. A creature moving through the sheet of frigid air for the first time on a turn must make a Constitution saving throw. That creature takes 5d6 cold damage on a failed save, or half as much damage on a successful one."," At Higher Levels. When you cast this spell using a spell slot of 7th level or higher, the damage the wall deals when it appears increases by 2d6, and the damage from passing through the sheet of frigid air increases by 1d6, for each slot level above 6th."
"Wall of Light","XGE","5th","Action","Concentration, up to 10 minutes","Evocation","120 feet","V, S, M (a hand mirror)","Sorcerer, Warlock, Wizard","","A shimmering wall of bright light appears at a point you choose within range. The wall appears in any orientation you choose: horizontally, vertically, or diagonally. It can be free floating, or it can rest on a solid surface. The wall can be up to 60 feet long, 10 feet high, and 5 feet thick. The wall blocks line of sight, but creatures and objects can pass through it. It emits bright light out to 120 feet and dim light for an additional 120 feet.When the wall appears, each creature in its area must make a Constitution saving throw. On a failed save, a creature takes 4d8 radiant damage, and it is blinded for 1 minute. On a successful save, it takes half as much damage and isn't blinded. A blinded creature can make a Constitution saving throw at the end of each of its turns, ending the effect on itself on a success.A creature that ends its turn in the wall's area takes 4d8 radiant damage.Until the spell ends, you can use an action to launch a beam of radiance from the wall at one creature you can see within 60 feet of it. Make a ranged spell attack. On a hit, the target takes 4d8 radiant damage. Whether you hit or miss, reduce the length of the wall by 10 feet. If the wall's length drops to 0 feet, the spell ends."," At Higher Levels. When you cast this spell using a spell slot of 6th level or higher, the damage increases by 1d8 for each slot level above 5th."
"Wall of Sand","XGE","3rd","Action","Concentration, up to 10 minutes","Evocation","90 feet","V, S, M (a handful of sand)","Wizard","","You create a wall of swirling sand on the ground at a point you can see within range. You can make the wall up to 30 feet long, 10 feet high, and 10 feet thick, and it vanishes when the spell ends. It blocks line of sight but not movement. A creature is blinded while in the wall's space and must spend 3 feet of movement for every 1 foot it moves there.",""
"Wall of Stone","PHB","5th","Action","Concentration, up to 10 minutes","Evocation","120 feet","V, S, M (a small block of granite)","Artificer, Druid, Sorcerer, Wizard","","A nonmagical wall of solid stone springs into existence at a point you choose within range. The wall is 6 inches thick and is composed of ten 10-foot-by-10-foot panels. Each panel must be contiguous with at least one other panel. Alternatively, you can create 10-foot-by-20-foot panels that are only 3 inches thick.If the wall cuts through a creature's space when it appears, the creature is pushed to one side of the wall (your choice). If a creature would be surrounded on all sides by the wall (or the wall and another solid surface), that creature can make a Dexterity saving throw. On a success, it can use its reaction to move up to its speed so that it is no longer enclosed by the wall.The wall can have any shape you desire, though it can't occupy the same space as a creature or object. The wall doesn't need to be vertical or rest on any firm foundation. It must, however, merge with and be solidly supported by existing stone. Thus, you can use this spell to bridge a chasm or create a ramp.If you create a span greater than 20 feet in length, you must halve the size of each panel to create supports. You can crudely shape the wall to create crenellations, battlements, and so on.The wall is an object made of stone that can be damaged and thus breached. Each panel has AC 15 and 30 hit points per inch of thickness. Reducing a panel to 0 hit points destroys it and might cause connected panels to collapse at the DM's discretion.If you maintain your concentration on this spell for its whole duration, the wall becomes permanent and can't be dispelled. Otherwise, the wall disappears when the spell ends.",""
"Wall of Thorns","PHB","6th","Action","Concentration, up to 10 minutes","Conjuration","120 feet","V, S, M (a handful of thorns)","Druid","","You create a wall of tough, pliable, tangled brush bristling with needle-sharp thorns. The wall appears within range on a solid surface and lasts for the duration. You choose to make the wall up to 60 feet long, 10 feet high, and 5 feet thick or a circle that has a 20-foot diameter and is up to 20 feet high and 5 feet thick. The wall blocks line of sight.When the wall appears, each creature within its area must make a Dexterity saving throw. On a failed save, a creature takes 7d8 piercing damage, or half as much damage on a successful save.A creature can move through the wall, albeit slowly and painfully. For every 1 foot a creature moves through the wall, it must spend 4 feet of movement. Furthermore, the first time a creature enters the wall on a turn or ends its turn there, the creature must make a Dexterity saving throw. It takes 7d8 slashing damage on a failed save, or half as much damage on a successful one."," At Higher Levels. When you cast this spell using a spell slot of 7th level or higher, both types of damage increase by 1d8 for each slot level above 6th."
"Wall of Time","DMS","5th","Action","Concentration, up to 1 minute","Abjuration (Temporal, Clockwork)","120 feet","V, S, M (an hourglass)","Cleric, Sorcerer, Wizard","","You create a wall of shimmering, transparent blocks on a solid surface within range. You can make a straight wall up to 60 feet long, 20 feet high, and 1 foot thick, or a cylindrical wall up to 20 feet high, 1 foot thick, and 20 feet in diameter. Nonmagical ranged attacks that cross the wall vanish into the time stream with no other effect.Ranged spell attacks and ranged weapon attacks made with magic weapons that pass through the wall are made with disadvantage. A creature that intentionally enters or passes through the wall is affected as if it had just failed its initial saving throw against a slow spell.",""
"Wall of Water","XGE","3rd","Action","Concentration, up to 10 minutes","Evocation","60 feet","V, S, M (a drop of water)","Druid, Sorcerer, Wizard","","You create a wall of water on the ground at a point you can see within range. You can make the wall up to 30 feet long, 10 feet high, and 1 foot thick, or you can make a ringed wall up to 20 feet in diameter, 20 feet high, and 1 foot thick. The wall vanishes when the spell ends. The wall's space is difficult terrain.Any ranged weapon attack that enters the wall's space has disadvantage on the attack roll, and fire damage is halved if the fire effect passes through the wall to reach its target. Spells that deal cold damage that pass through the wall cause the area of the wall they pass through to freeze solid (at least a 5-foot-square section is frozen). Each 5-foot-square frozen section has AC 5 and 15 hit points. Reducing a frozen section to 0 hit points destroys it. When a section is destroyed, the wall's water doesn't fill it.",""
"War Horn","ToH","4th","Action","1 minute","Enchantment","Self (30-foot radius)","M (metal horn worth at least 50 gp)","Cleric, Paladin, Wizard","","You blow a blast on your war horn, sending a ripple of fear through your enemies and bolstering your allies. Choose up to three hostile creatures in range and up to three friendly creatures in range. Each hostile target must succeed on a Wisdom saving throw or become frightened for the duration. At the end of each of its turns, a frightened creature can make another Wisdom saving throw. On a success, the spell ends on that creature.Each friendly target gains a number of temporary hit points equal to 2d4 + your spellcasting ability modifier and has advantage on the next attack roll it makes before the spell ends. The temporary hit points last for 1 hour.",""
"Warding Bond","PHB","2nd","Action","1 hour","Abjuration","Touch","V, S, M (a pair of platinum rings worth at least 50 gp each, which you and the target must wear for the duration)","Cleric, Martyr, Tamer","Paladin","This spell wards a willing creature you touch and creates a mystic connection between you and the target until the spell ends. While the target is within 60 feet of you, it gains a +1 bonus to AC and saving throws, and it has resistance to all damage. Also, each time it takes damage, you take the same amount of damage.The spell ends if you drop to 0 hit points or if you and the target become separated by more than 60 feet. It also ends if the spell is cast again on either of the connected creatures. You can also dismiss the spell as an action.",""
"Warding Wind","XGE","2nd","Action","Concentration, up to 10 minutes","Evocation","Self","V","Bard, Druid, Sorcerer, Wizard","","A strong wind (20 miles per hour) blows around you in a 10-foot radius and moves with you, remaining centered on you. The wind lasts for the spell's duration.The wind has the following effects:It deafens you and other creatures in its area.It extinguishes unprotected flames in its area that are torch-sized or smaller.It hedges out vapor, gas, and fog that can be dispersed by strong wind.The area is difficult terrain for creatures other than you.The attack rolls of ranged weapon attacks have disadvantage if the attacks pass in or out of the wind.",""
"Warning Shout","DMS","2nd","Reaction","Instantaneous","Divination","30 feet","V","Bard, Cleric, Paladin, Wizard","","You sense danger before it happens and call out a warning to an ally. One creature you can see and that can hear you gains advantage on its initiative roll.",""
"Warp Mind and Matter","DMS","6th","Action","Until dispelled","Transmutation (Mythos) (ritual)","30 feet","V, S, M (root of deadly nightshade and a drop of the caster's blood)","Wizard","","A creature you can see within range undergoes a baleful transmogrification. The target must make a successful Wisdom saving throw or suffer a flesh warp and be afflicted with a form of indefinite madness.",""
"Warp Sense","SatO","2nd","Action","Concentration, up to 1 minute","Divination","Self","V, S, M (a razorvine leaf)","Sorcerer, Warlock, Wizard","","For the duration, you sense the presence of portals, even inactive ones, within 30 feet of yourself.If you detect a portal in this way, you can use your action to study it. Make a DC 15 ability check using your spellcasting ability. On a successful check, you learn the destination plane of the portal and what portal key it requires, then the spell ends. On a failed check, you learn nothing and can't study that portal again using this spell until you cast it again.The spell can penetrate most barriers but is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.",""
"Water Breathing","PHB","3rd","Action","24 hours","Transmutation (ritual)","30 feet","V, S, M (a short reed or piece of straw)","Artificer, Druid, Investigator, Ranger, Sorcerer, Tamer, Wizard","","This spell grants up to ten willing creatures you can see within range the ability to breathe underwater until the spell ends. Affected creatures also retain their normal mode of respiration.",""
"Water Walk","PHB","3rd","Action","1 hour","Transmutation (ritual)","30 feet","V, S, M (a piece of cork)","Artificer, Cleric, Druid, Investigator, Ranger, Sorcerer, Tamer","","This spell grants the ability to move across any liquid surface—such as water, acid, mud, snow, quicksand, or lava—as if it were harmless solid ground (creatures crossing molten lava can still take damage from the heat). Up to ten willing creatures you can see within range gain this ability for the duration.If you target a creature submerged in a liquid, the spell carries the target to the surface of the liquid at a rate of 60 feet per round.",""
"Water Whip","HGtMH","Cantrip","Action","Instantaneous","Transmutation","60 feet","V, S","Druid, Sorcerer, Wizard","","Choose a source of water that you can see within range that has a volume of at least 1 gallon Make a melee spell attack against a creature within 30 feet of the source of water On a hit, the target takes 1d6 slashing damage and, if the creature is Large or smaller, you can force it to make a Strength saving throw, pulling it up to 10 feet towards the body of water on a failureThe spell's damage and distance it can pull a target increases when you reach 5th level 2d6 and 15 feet), 11th level 3d6 and 20 feet), and 17th level 4d6 and 25 feet)",""
"Watery Sphere","XGE","4th","Action","Concentration, up to 1 minute","Conjuration","90 feet","V, S, M (a droplet of water)","Druid, Sorcerer, Wizard","","You conjure up a sphere of water with a 5-foot radius at a point you can see within range. The sphere can hover but no more than 10 feet off the ground. The sphere remains for the spell's duration.Any creature in the sphere's space must make a Strength saving throw. On a successful save, a creature is ejected from that space to the nearest unoccupied space of the creature's choice outside the sphere. A Huge or larger creature succeeds on the saving throw automatically, and a Large or smaller creature can choose to fail it. On a failed save, a creature is restrained by the sphere and is engulfed by the water. At the end of each of its turns, a restrained target can repeat the saving throw, ending the effect on itself on a success.The sphere can restrain as many as four Medium or smaller creatures or one Large creature. If the sphere restrains a creature that causes it to exceed this capacity, a random creature that was already restrained by the sphere falls out of it and lands prone in a space within 5 feet of it.As an action, you can move the sphere up to 30 feet in a straight line. If it moves over a pit, a cliff, or other drop-off, it safely descends until it is hovering 10 feet above the ground. Any creature restrained by the sphere moves with it. You can ram the sphere into creatures, forcing them to make the saving throw.When the spell ends, the sphere falls to the ground and extinguishes all normal flames within 30 feet of it. Any creature restrained by the sphere is knocked prone in the space where it falls. The water then vanishes.",""
"Watery Tentacles","VSS","4th","Action","Concentration, up to 1 minute","Conjuration","Self","V, S, M (an octopus tentacle)","Druid, Warlock, Wizard","","When you cast this spell, three tentacles made of water appear around your body for the duration. As part of the action used to cast the spell, and as a bonus action on subsequent turns until the spell ends, you can command one of these tentacles to grapple a Large or smaller creature that you can see within 30 feet of you. The target must make a Strength saving throw or be grappled and restrained by the tentacle. At the end of each of its turns, a restrained target can repeat the saving throw, freeing itself on a success.You can grapple as many creatures as you have tentacles. You can use an action or bonus action on your turn to release a grappled creature, or to drag it up to 20 feet in a direction you choose. You can also use the tentacles to manipulate objects as an action or a bonus action. Each tentacle can lift up to 100 pounds, and you can command multiple tentacles to work together to lift the same object as part of the same action or bonus action. The tentacles are not capable of detailed control—for example, they cannot open a chest or uncork a bottle. Burning objects are extinguished when a tentacle grabs them."," At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, you gain an additional tentacle for every slot level above 4th."
"Wave of Corruption","DMS","3rd","Action","Instantaneous","Necromancy (Fiendish)","Self (30-foot radius)","V, S, M (a scrap of rotten meat or plant matter)","Cleric, Wizard","","When you cast this spell, necromantic energy spreads out in a 30-foot radius around you, corrupting what it comes into contact with. Each unattended, nonmagical object within range takes 3d8 necrotic damage. All food and drink in the area, other than what is being carried, is fouled and made unpalatable. Magic consumables, such as potions, have a 50 percent chance of being ruined, but any such item in the possession of a creature gets a Constitution saving throw using the owner's save bonus to avoid this outcome."," At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, the necrotic damage increases by 1d8 for every two slot levels above 3rd."
"Wayward Strike","DMS","4th","Reaction","Instantaneous","Transmutation","60 feet","V, S","Sorcerer, Warlock","","You create a tear in the fabric of reality that protects you from an incoming attack by directing it through a second tear close to a creature you can see up within range. The attack plunges into one dimensional tear and out the other one, causing it to be resolved against that creature's AC. If the attack is successful, the creature takes the appropriate damage. You can even make the attacker hit itself, if you choose.",""
"Weapon of Blood","DMS","1st","Action","Concentration, up to 1 hour","Transmutation (Blood)","Self","V, S, M (a pinch of iron shavings)","Sorcerer, Wizard","","When you cast this spell, you inflict 1d4 slashing damage on yourself that can't be healed until after the blade created by this spell is destroyed or the spell ends. The trickling blood transforms into a dagger of red metal that functions as a +1 dagger."," At Higher Levels. When you cast this spell using a spell slot of 3rd to 5th level, the self-inflicted wound deals 3d4 slashing damage and the spell produces a +2 dagger. When you cast this spell using a spell slot of 6th to 8th level, the self-inflicted wound deals 6d4 slashing damage and the spell produces a +2 dagger of wounding. When you cast this spell using a 9th-level spell slot, the self-inflicted wound deals 9d4 slashing damage and the spell produces a +3 dagger of wounding."
"Weave Entanglement","HGtMH","6th","Action","Concentration, up to 1 minute","Abjuration","90 feet","V, S, M (a piece of felt)","Bard, Sorcerer, Wizard","","You imperceptibly tangle the threads of the Weave in a 20-foot-radius sphere centred on a point you can see within range Whenever a creature attempts to cast a spell of 1st level or higher in this area, it must make an ability check with its spellcasting ability against your spell save DC On a success, the spell is cast as normal On a failure, the spellcaster casts the spell and produces an additional effect. Roll a d10 and consult the following table to determine the additional effect 1. The spellcaster casts gravity smash 2. The spellcaster casts phantasmal killer 3. The spellcaster casts confusion 4. The spellcaster casts fireball 5. The spellcaster casts zippit! 6. The spellcaster casts web 7. The spellcaster casts darkness 8. The spellcaster casts silence 9. The spellcaster regains 2d10 hit points. 10. The spellcaster doesn't expend a spell slot to cast its spell.Any additional spell cast this way targets or is centred on the spellcaster, who has no control over the spell's effects. The DC for any saving throws equals the spellcaster's spell save DC In the case of concentration spells, no concentration is required At initiative count 20 of each round, roll a d20 for each ongoing additional effect. On a roll of 11 or higher, that effect ends"," At Higher Levels. When you cast this spell using a spell slot of 7th level or higher, you increase the radius of the area affected by 10 feet for each slot level above 6th."
"Weavebend","HGtMH","4th","Reaction","Instantaneous","Abjuration","60 feet","S","Sorcerer, Warlock, Wizard","","You attempt to redirect a spell cast by a creature you can see If the creature is casting a spell of 3rd level or lower, you can redirect the spell If the spell involves a ranged spell attack, you can cause the ranged spell attack to target a different target within 10 feet of its original target. If the spell has an area of effect, you can shift the area of effect up to 10 feet in any direction If the creature is casting a spell of 4th level or higher, make an ability check using your spellcasting ability The DC equals 10 + the spell's level On a success, the creature's spell is redirected as described"," At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, the spell is automatically redirected if its level is less than the level of the spell slot you used."
"Web","PHB","2nd","Action","Concentration, up to 1 hour","Conjuration","60 feet","V, S, M (a bit of spiderweb)","Artificer, Necromancer, Sorcerer, Wizard","","You conjure a mass of thick, sticky webbing at a point of your choice within range. The webs fill a 20-foot cube from that point for the duration. The webs are difficult terrain and lightly obscure their area.If the webs aren't anchored between two solid masses (such as walls or trees) or layered across a floor, wall, or ceiling, the conjured web collapses on itself, and the spell ends at the start of your next turn. Webs layered over a flat surface have a depth of 5 feet.Each creature that starts its turn in the webs or that enters them during its turn must make a Dexterity saving throw. On a failed save, the creature is restrained as long as it remains in the webs or until it breaks free.A creature restrained by the webs can use its action to make a Strength check against your spell save DC. If it succeeds, it is no longer restrained.The webs are flammable. Any 5-foot cube of webs exposed to fire burns away in 1 round, dealing 2d4 fire damage to any creature that starts its turn in the fire.",""
"Weiler's Ward","DMS","2nd","Bonus","Concentration, up to 1 hour","Conjuration","Self","V, S, M (a lock of hair from a fey creature)","Druid, Sorcerer, Wizard","","You create four small orbs of faerie magic that float around your head and give off dim light out to a radius of 15 feet. Whenever a Large or smaller enemy enters that area of dim light, or starts its turn in the area, you can use your reaction to attack it with one or more of the orbs. The enemy creature makes a Charisma saving throw. On a failed save, the creature is pushed 20 feet directly away from you, and each orb you used in the attack explodes violently, dealing 1d6 force damage to the creature."," At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the number of orbs increases by one for each slot level above 2nd."
"Weird","PHB","9th","Action","Concentration, up to 1 minute","Illusion","120 feet","V, S","Necromancer, Witch, Wizard","Warlock","Drawing on the deepest fears of a group of creatures, you create illusory creatures in their minds, visible only to them. Each creature in a 30-foot-radius sphere centered on a point of your choice within range must make a Wisdom saving throw. On a failed save, a creature becomes frightened for the duration. The illusion calls on the creature's deepest fears, manifesting its worst nightmares as an implacable threat. At the end of each of the frightened creature's turns, it must succeed on a Wisdom saving throw or take 4d10 psychic damage. On a successful save, the spell ends for that creature.",""
"Whirlwind","XGE","7th","Action","Concentration, up to 1 minute","Evocation","300 feet","V, M (a piece of straw)","Druid, Sorcerer, Wizard","","A whirlwind howls down to a point that you can see on the ground within range. The whirlwind is a 10-foot-radius, 30-foot-high cylinder centered on that point. Until the spell ends, you can use your action to move the whirlwind up to 30 feet in any direction along the ground. The whirlwind sucks up any Medium or smaller objects that aren't secured to anything and that aren't worn or carried by anyone.A creature must make a Dexterity saving throw the first time on a turn that it enters the whirlwind or that the whirlwind enters its space, including when the whirlwind first appears. A creature takes 10d6 bludgeoning damage on a failed save, or half as much damage on a successful one. In addition, a Large or smaller creature that fails the save must succeed on a Strength saving throw or become restrained in the whirlwind until the spell ends. When a creature starts its turn restrained by the whirlwind, the creature is pulled 5 feet higher inside it, unless the creature is at the top. A restrained creature moves with the whirlwind and falls when the spell ends, unless the creature has some means to stay aloft.A restrained creature can use an action to make a Strength or Dexterity check against your spell save DC. If successful, the creature is no longer restrained by the whirlwind and is hurled 3d6 × 10 feet away from it in a random direction.",""
"Whispering Wind","VSS","1st","Action","1 round","Evocation","1 mile","V, S, M (a feather)","Bard, Cleric, Druid, Investigator, Wizard","","You point your finger in a direction and whisper a message of twenty-five words or less, while specifying up to six creatures to be the targets. If a target is in range and in the approximate direction indicated, they (and only they) hear the message carried on the wind. They can reply in a whisper that only you can hear.You can cast this spell only when there is a clear path for air to move between you and the targets. The spell doesn't have to follow a straight line and can travel freely around corners or through openings, but is blocked by solid objects and areas of magical silence.",""
"Wild Hunt","ToH","7th","1 Hr.","24 hours","Enchantment","30 feet","V, S, M (a jeweled dagger worth at least 500 gp, which the spell consumes)","Druid, Sorcerer, Warlock","","While casting this spell, you must chant and drum, calling forth the spirit of the hunt. Up to nine other creatures can join you in the chant.For the duration, each creature that participated in the chant is filled with the fervent bloodlust of the wild hunt and gains several benefits. The creature is immune to being charmed and frightened, it deals one extra die of damage on the first weapon or spell attack it makes on each of its turns, it has advantage on Strength or Dexterity saving throws (the creature's choice), and its Armor Class increases by 1.When this spell ends, a creature affected by it suffers one level of exhaustion.",""
"Wild Shield","DMS","4th","Action","1 minute","Abjuration (Chaos)","Self","V, S","Bard, Wizard","","You surround yourself with the forces of chaos. Wild lights and strange sounds engulf you, making stealth impossible. While this spell is active, you can use a reaction to repel a spell of 4th level or lower that targets you or whose area you are within. A repelled spell has no effect on you, but doing this causes the chance of a chaos magic surge as if you had cast a spell, with you considered the caster for any effect of the surge.This spell ends when the duration expires or when it absorbs 4 levels of spells. If you try to repel a spell whose level exceeds the number of levels remaining, make an ability check using your spellcasting ability. The DC equals 10 + the spell's level–the number of levels this spell can still repel. If the check succeeds, the spell is repelled; if the check fails, the spell has its full effect. The chance of a chaos magic surge exists regardless of whether the spell is repelled."," At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, you can repel one additional spell level for each slot level above 4th."
"Wild Trajectory","DMS","7th","Action","Concentration, up to 1 minute","Transmutation (Chaos)","100 feet","V, S","Sorcerer, Wizard","","You create a 30-foot cube of magical instability that causes spell effects passing through it to diverge wildly from their original paths. When a spell with a visible or tangible manifestation (such as fireball, lightning bolt, or a ray or projectile such as magic missile or ray of frost) passes through the area, roll a d8. On a 1, the spell continues on its original path or toward its original target; on a 2, it diverts 45 degrees to the right; on a 3, it diverts 90 degrees to the right; on a 4, it diverts 135 degrees to the right; on a 5, it turns 180 degrees, back the way it came (striking the caster if it is a targeted spell); on a 6, the spell diverts 45 degrees to the left; on a 7, it diverts 90 degrees to the left; on an 8, it diverts 135 degrees to the left.A spell that affects anything in its path, such as lightning bolt, will continue to do so along its new trajectory up to the limit of its range. A spell such as fireball will travel in the new direction up to the limit of its range before detonating. A targeted spell will strike the first viable target it encounters along its new trajectory.",""
"Wildfire","VSS","8th","Action","Concentration, up to 1 minute","Evocation","60 feet","V, S, M (a piece of flint)","Druid, Sorcerer, Wizard","","You create a magical fire that fills ten 5-foot cubes on ground, which you can arrange as you wish within range. Each cube you place must have a face adjacent to the face of another cube. On each of your turns after you cast this spell, you can use a bonus action to expand the area of the fire to up to ten additional 5-foot cubes that each have a face adjacent to the face of another cube of fire. The fire damages objects in the area and ignites flammable objects that aren't being worn or carried.When a creature moves into the area of fire for the first time or starts its turn there, it must make a Dexterity saving throw. It takes 8d8 fire damage on a failed save, or half as much on a successful save.",""
"Wind Lash","DMS","Cantrip","Action","Instantaneous","Evocation","20 feet","V, S","Sorcerer, Warlock, Wizard","","Your swift gesture creates a solid lash of howling wind. Make a melee spell attack against the target. On a hit, the target takes 1d8 slashing damage from the shearing wind and is pushed 5 feet away from you.The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",""
"Wind Tunnel","DMS","1st","Action","Concentration, up to 1 minute","Evocation","Self (60-foot line)","V, S, M (a paper straw)","Sorcerer, Warlock, Wizard","","You create a swirling tunnel of strong wind extending from yourself in a direction you choose. The tunnel is a line 60 feet long and 10 feet wide. The wind blows from you toward the end of the line, which is stationary once created. A creature in the line moving with the wind (away from you) adds 10 feet to its speed, and ranged weapon attacks launched with the wind don't have disadvantage because of long range. Creatures in the line moving against the wind (toward you) spend 2 feet of movement for every 1 foot they move, and ranged weapon attacks launched along the line against the wind are made with disadvantage.The wind tunnel immediately disperses gas or vapor, and it extinguishes candles, torches, and similar unprotected flames in the line. It causes protected flames, such as those of lanterns, to dance wildly and has a 50 percent chance of extinguishing them.",""
"Wind Walk","PHB","6th","1 Min.","8 hours","Transmutation","30 feet","V, S, M (fire and holy water)","Druid","","You and up to ten willing creatures you can see within range assume a gaseous form for the duration, appearing as wisps of cloud. While in this cloud form, a creature has a flying speed of 300 feet and has resistance to damage from nonmagical weapons. The only actions a creature can take in this form are the Dash action or to revert to its normal form. Reverting takes 1 minute, during which time a creature is incapacitated and can't move. Until the spell ends, a creature can revert to cloud form, which also requires the 1-minute transformation.If a creature is in cloud form and flying when the effect ends, the creature descends 60 feet per round for 1 minute until it lands, which it does safely. If it can't land after 1 minute, the creature falls the remaining distance.",""
"Wind Wall","PHB","3rd","Action","Concentration, up to 1 minute","Evocation","120 feet","V, S, M (a tiny fan and a feather of exotic origin)","Druid, Ranger","","A wall of strong wind rises from the ground at a point you choose within range. You can make the wall up to 50 feet long, 15 feet high, and 1 foot thick. You can shape the wall in any way you choose so long as it makes one continuous path along the ground. The wall lasts for the duration.When the wall appears, each creature within its area must make a Strength saving throw. A creature takes 3d8 bludgeoning damage on a failed save, or half as much damage on a successful one.The strong wind keeps fog, smoke, and other gases at bay. Small or smaller flying creatures or objects can't pass through the wall. Loose, lightweight materials brought into the wall fly upward. Arrows, bolts, and other ordinary projectiles launched at targets behind the wall are deflected upward and automatically miss. (Boulders hurled by giants or siege engines, and similar projectiles, are unaffected.) Creatures in gaseous form can't pass through it.",""
"Wind of the Hereafter","DMS","8th","Action","Concentration, up to 10 minutes","Conjuration","120 feet","V, S, M (a vial of air from a tomb)","Cleric, Wizard","","You create a 30-foot-radius sphere of roiling wind that carries the choking stench of death. The sphere is centered on a point you choose within range. The wind blows around corners. When a creature starts its turn in the sphere, it takes 8d8 necrotic damage, or half as much damage if it makes a successful Constitution saving throw. Creatures are affected even if they hold their breath or don't need to breathe.The sphere moves 10 feet away from you at the start of each of your turns, drifting along the surface of the ground. It is not heavier than air but drifts in a straight line for the duration of the spell, even if that carries it over a cliff or gully. If the sphere meets a wall or other impassable obstacle, it turns to the left or right (select randomly).",""
"Winter Flower","VSS","6th","Action","24 hours","Evocation","120 feet","V, S, M (a crystal flower)","Druid, Sorcerer, Wizard","","You cause a Tiny white flower to sprout at a point on the ground you can see within range. The flower has an AC of 15, 1 hit point, vulnerability to fire damage, and immunity to cold damage. During the spell's duration, you can use a bonus action to command it to explode in a shower of ice. Alternatively, the flower will explode if it is reduced to 0 hit points. When the flower explodes, each creature within 30 feet of it must make a Dexterity saving throw. On a failed save, a creature takes 10d8 cold damage, or half as much on a successful one. The flower withers and dies if it does not explode within 24 hours.If you cast this spell again while it is active, you can maintain the flower's existence for another 24 hours. You can create a permanent flower by casting this spell on the same flower for seven days.",""
"Winter's Radiance","DMS","6th","Action","Concentration, up to 1 minute","Evocation (Winter)","400 feet","V, S, M (a piece of polished glass)","Cleric, Druid, Sorcerer, Wizard","","When you cast this spell, the piercing rays of a day's worth of sunlight reflecting off fresh snow blankets the area in a 30-foot cube centered at a point within range. A creature caught in the spell's area must succeed on a Constitution saving throw or have disadvantage on ranged attacks and Wisdom (Perception) checks for the duration of the spell. In addition, an affected creature's vision is hampered such that foes it targets are treated as having three-quarters cover.",""
